dataset,sample_idx,seq_len,layer,threshold_type,threshold_value
wikitext2,0,160,10,threshold_high,0.6089004278182983
wikitext2,0,160,10,threshold_low,0.041114144027233124
wikitext2,0,160,20,threshold_high,0.36395975947380066
wikitext2,0,160,20,threshold_low,0.017046108841896057
wikitext2,1,169,10,threshold_high,0.6616014838218689
wikitext2,1,169,10,threshold_low,0.04781264066696167
wikitext2,1,169,20,threshold_high,0.38531529903411865
wikitext2,1,169,20,threshold_low,0.01859692856669426
wikitext2,2,81,10,threshold_high,0.785819947719574
wikitext2,2,81,10,threshold_low,0.04456733912229538
wikitext2,2,81,20,threshold_high,0.5585913062095642
wikitext2,2,81,20,threshold_low,0.02530113235116005
wikitext2,3,70,10,threshold_high,0.8063966631889343
wikitext2,3,70,10,threshold_low,0.04121822491288185
wikitext2,3,70,20,threshold_high,0.47829365730285645
wikitext2,3,70,20,threshold_low,0.02114994451403618
wikitext2,4,61,10,threshold_high,0.8442835211753845
wikitext2,4,61,10,threshold_low,0.037988610565662384
wikitext2,4,61,20,threshold_high,0.43548232316970825
wikitext2,4,61,20,threshold_low,0.016522550955414772
wikitext2,5,38,10,threshold_high,0.7492510676383972
wikitext2,5,38,10,threshold_low,0.03561757877469063
wikitext2,5,38,20,threshold_high,0.49721476435661316
wikitext2,5,38,20,threshold_low,0.01749018020927906
wikitext2,6,32,10,threshold_high,0.7577848434448242
wikitext2,6,32,10,threshold_low,0.02538512647151947
wikitext2,6,32,20,threshold_high,0.5347151756286621
wikitext2,6,32,20,threshold_low,0.0172417089343071
wikitext2,7,129,10,threshold_high,0.6965426802635193
wikitext2,7,129,10,threshold_low,0.04363696649670601
wikitext2,7,129,20,threshold_high,0.41698330640792847
wikitext2,7,129,20,threshold_low,0.019442960619926453
wikitext2,8,161,10,threshold_high,0.7192492485046387
wikitext2,8,161,10,threshold_low,0.05178290605545044
wikitext2,8,161,20,threshold_high,0.4206486940383911
wikitext2,8,161,20,threshold_low,0.0230255126953125
wikitext2,9,95,10,threshold_high,0.7710068821907043
